Customer Name,Customer Segment,Customer State,Order Date,Order ID,Order Priority,Product Category,Product Container,Product Name,Product Sub-Category,Region,Row ID,Ship Date,Ship Mode,Zip Code,Discount,Number of Records,Order Quantity,Product Base Margin,Profit,Sales,Shipping Cost,Unit Price
Dennis Bolton,Small Business,New Jersey,30/10/2007 12:00:00 SA,6656,Critical,Office Supplies,Small Box,Ibico Recycled Linen-Style Covers,Binders and Binder Accessories,East,921,30/10/2007 12:00:00 SA,Regular Air,07001,"0,02",1,45,"0,37",$509,$1.802,"10,55","39,06"
Adam Bellavance,Small Business,New York,30/10/2007 12:00:00 SA,41793,High,Furniture,Small Box,DAX Natural Wood-Tone Poster Frame,Office Furnishings,East,5890,31/10/2007 12:00:00 SA,Regular Air,10501,"0,05",1,48,"0,49",$384,$1.287,"6,93","26,48"
Dennis Bolton,Small Business,New Jersey,30/10/2007 12:00:00 SA,6656,Critical,Office Supplies,Small Box,Vinyl Sectional Post Binders,Binders and Binder Accessories,East,922,31/10/2007 12:00:00 SA,Regular Air,07001,"0,1",1,50,"0,35",$805,$1.832,"2,99","37,7"
Larry Tron,Corporate,Virginia,30/10/2007 12:00:00 SA,18496,High,Technology,Small Box,Belkin ErgoBoard™ Keyboard,Computer Peripherals,South,2554,31/10/2007 12:00:00 SA,Regular Air,24157,"0,01",1,30,"0,64",$46,$991,"6,5","30,98"
Brendan Sweed,Consumer,Wisconsin,30/10/2007 12:00:00 SA,8353,Medium,Office Supplies,Wrap Bag,Newell 343,Pens & Art Supplies,Central,1147,01/11/2007 12:00:00 SA,Regular Air,53081,"0,08",1,16,"0,58",($2),$46,"0,96","2,94"
Sonia Sunley,Corporate,Michigan,30/10/2007 12:00:00 SA,10048,Not Specified,Office Supplies,Wrap Bag,"*Staples* vLetter Openers, 2/Pack","Scissors, Rulers and Trimmers",Central,1381,01/11/2007 12:00:00 SA,Regular Air,49971,"0,02",1,21,"0,83",($21),$79,"1,32","3,68"
Brendan Sweed,Consumer,Wisconsin,30/10/2007 12:00:00 SA,8353,Medium,Technology,Small Pack,"Imation 3.5 IBM Formatted Diskettes, 10/Box",Computer Peripherals,Central,1146,01/11/2007 12:00:00 SA,Regular Air,53081,"0,06",1,34,"0,74",($37),$287,"2,38","8,32"
Larry Tron,Corporate,Virginia,30/10/2007 12:00:00 SA,18496,High,Office Supplies,Small Box,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Paper,South,2555,02/11/2007 12:00:00 SA,Regular Air,24157,"0,01",1,29,"0,36",$178,$1.267,"19,99","40,99"
Sonia Sunley,Corporate,Michigan,30/10/2007 12:00:00 SA,10048,Not Specified,Technology,Small Box,Keytronic 105-Key Spanish Keyboard,Computer Peripherals,Central,1382,02/11/2007 12:00:00 SA,Regular Air,49971,"0,08",1,46,"0,77",$97,$3.197,4,"73,98"
Christine Sundaresam,Small Business,New Mexico,31/10/2007 12:00:00 SA,24358,Critical,Office Supplies,Large Box,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Storage & Organization,West,3411,31/10/2007 12:00:00 SA,Regular Air,88134,"0,07",1,27,"0,8",($207),$7.333,35,"279,48"
Denny Ordway,Small Business,Washington,31/10/2007 12:00:00 SA,21286,Critical,Office Supplies,Medium Box,Holmes Odor Grabber,Appliances,West,2937,01/11/2007 12:00:00 SA,Express Air,98390,0,1,17,"0,52",$9,$280,"6,75","14,42"
Victoria Pisteka,Corporate,Texas,31/10/2007 12:00:00 SA,13218,High,Office Supplies,Small Box,Lock-Up Easel 'Spel-Binder',Binders and Binder Accessories,Central,1838,01/11/2007 12:00:00 SA,Regular Air,88595,"0,03",1,18,"0,38",$199,$513,"1,49","28,53"
Paul Lucas,Corporate,California,31/10/2007 12:00:00 SA,263,High,Office Supplies,Small Box,3M Organizer Strips,Binders and Binder Accessories,West,46,01/11/2007 12:00:00 SA,Regular Air,96061,"0,09",1,25,"0,37",($136),$137,"7,78","5,4"
Victoria Pisteka,Corporate,Texas,31/10/2007 12:00:00 SA,13218,High,Office Supplies,Small Box,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Paper,Central,1839,02/11/2007 12:00:00 SA,Regular Air,88595,"0,07",1,16,"0,36",($62),$99,"7,15","5,98"
Roy Skaria,Corporate,Illinois,01/11/2007 12:00:00 SA,3553,Medium,Office Supplies,Wrap Bag,Newell 343,Pens & Art Supplies,Central,516,02/11/2007 12:00:00 SA,Regular Air,60406,"0,06",1,7,"0,58",($4),$21,"0,96","2,94"
Aleksandra Gannaway,Home Office,Washington,01/11/2007 12:00:00 SA,36131,High,Office Supplies,Small Box,Xerox 1897,Paper,West,5070,02/11/2007 12:00:00 SA,Regular Air,98601,"0,09",1,26,"0,36",($83),$131,"6,07","4,98"
Aleksandra Gannaway,Home Office,Washington,01/11/2007 12:00:00 SA,36131,High,Office Supplies,Wrap Bag,Prismacolor Color Pencil Set,Pens & Art Supplies,West,5069,02/11/2007 12:00:00 SA,Regular Air,98601,"0,07",1,26,"0,44",$120,$493,"4,1","19,84"
Aleksandra Gannaway,Home Office,Washington,01/11/2007 12:00:00 SA,36131,High,Office Supplies,Wrap Bag,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",Paper,West,5071,03/11/2007 12:00:00 SA,Regular Air,98601,"0,07",1,43,"0,35",$151,$355,"1,43","8,34"
Stefania Perrino,Corporate,South Carolina,01/11/2007 12:00:00 SA,59779,Low,Furniture,Jumbo Drum,Hon Comfortask® Task/Swivel Chairs,Chairs & Chairmats,South,8364,08/11/2007 12:00:00 SA,Delivery Truck,29338,"0,04",1,30,"0,69",$88,$3.575,30,"113,98"
Sylvia Foulston,Corporate,New Jersey,02/11/2007 12:00:00 SA,59207,Critical,Furniture,Jumbo Box,Global Adaptabilities™ Conference Tables,Tables,East,8289,02/11/2007 12:00:00 SA,Delivery Truck,07001,"0,02",1,42,"0,78",($1.051),$9.503,"81,98","280,98"
Jack O'Briant,Small Business,New Jersey,02/11/2007 12:00:00 SA,58147,High,Office Supplies,Small Box,Staples Surge Protector 6 outlet,Appliances,East,8135,02/11/2007 12:00:00 SA,Regular Air,08823,"0,04",1,41,"0,58",$24,$471,"3,99","10,98"
Brendan Murry,Corporate,Maryland,02/11/2007 12:00:00 SA,38341,Medium,Technology,Wrap Bag,Accessory25,Telephones and Communication,South,5393,02/11/2007 12:00:00 SA,Regular Air,21290,"0,09",1,38,"0,57",$122,$623,"0,99","20,99"
Brendan Murry,Corporate,Maryland,02/11/2007 12:00:00 SA,38341,Medium,Office Supplies,Small Box,Cardinal Poly Pocket Divider Pockets for Ring Binders,Binders and Binder Accessories,South,5394,03/11/2007 12:00:00 SA,Express Air,21290,"0,1",1,15,"0,4",($67),$63,"6,27","3,36"
Roy Collins,Corporate,Florida,02/11/2007 12:00:00 SA,59207,Critical,Office Supplies,Wrap Bag,Staples Gold Paper Clips,Rubber Bands,South,8290,03/11/2007 12:00:00 SA,Regular Air,32003,"0,09",1,3,"0,39",($4),$10,"1,58","2,98"
Brendan Murry,Corporate,Maryland,02/11/2007 12:00:00 SA,38341,Medium,Office Supplies,Small Box,Xerox 1933,Paper,South,5395,04/11/2007 12:00:00 SA,Regular Air,21290,"0,07",1,5,"0,38",($8),$64,"4,86","12,28"
Arthur Wiediger,Corporate,Virginia,02/11/2007 12:00:00 SA,20614,Not Specified,Technology,Small Box,Keytronic 105-Key Spanish Keyboard,Computer Peripherals,South,2858,04/11/2007 12:00:00 SA,Express Air,23664,0,1,47,"0,67",$326,$3.596,"12,14","73,98"
Tony Molinari,Corporate,California,03/11/2007 12:00:00 SA,8930,Medium,Office Supplies,Small Box,Hammermill Color Copier Paper (28Lb. and 96 Bright),Paper,West,1214,05/11/2007 12:00:00 SA,Regular Air,96002,"0,04",1,14,"0,4",($92),$146,"11,59","9,99"
Karen Ferguson,Home Office,North Carolina,03/11/2007 12:00:00 SA,55909,Low,Office Supplies,Small Box,Ibico EB-19 Dual Function Manual Binding System,Binders and Binder Accessories,South,7821,07/11/2007 12:00:00 SA,Regular Air,27801,"0,07",1,3,"0,39",($94),$527,"19,99","172,99"
Karen Ferguson,Home Office,North Carolina,03/11/2007 12:00:00 SA,55909,Low,Office Supplies,Small Box,"Fellowes Personal Hanging Folder Files, Navy",Storage & Organization,South,7822,10/11/2007 12:00:00 SA,Regular Air,27801,"0,03",1,2,"0,57",($21),$33,"5,5","13,43"
Duane Huffman,Small Business,Delaware,04/11/2007 12:00:00 SA,20261,Medium,Office Supplies,Small Box,GBC Wire Binding Strips,Binders and Binder Accessories,East,2807,04/11/2007 12:00:00 SA,Express Air,19810,"0,09",1,25,"0,37",$67,$752,"12,62","31,74"
Elizabeth Moffitt,Consumer,Connecticut,04/11/2007 12:00:00 SA,20903,High,Furniture,Jumbo Box,"Bush Westfield Collection Bookcases, Fully Assembled",Bookcases,East,2897,05/11/2007 12:00:00 SA,Delivery Truck,06928,"0,04",1,4,"0,62",($153),$443,"35,84","100,98"
Kristina Nunn,Consumer,Arizona,04/11/2007 12:00:00 SA,5698,Medium,Office Supplies,Small Box,"#10 White Business Envelopes,4 1/8 x 9 1/2",Envelopes,West,796,05/11/2007 12:00:00 SA,Regular Air,86409,"0,06",1,7,"0,38",$26,$108,"1,39","15,67"
Kristina Nunn,Consumer,Arizona,04/11/2007 12:00:00 SA,5698,Medium,Office Supplies,Small Box,Kensington 6 Outlet Guardian Standard Surge Protector,Appliances,West,795,05/11/2007 12:00:00 SA,Regular Air,86409,"0,09",1,15,"0,58",($17),$297,"6,32","20,48"
Duane Huffman,Small Business,Delaware,04/11/2007 12:00:00 SA,20261,Medium,Technology,Small Box,Talkabout T8367,Telephones and Communication,East,2808,05/11/2007 12:00:00 SA,Express Air,19810,"0,02",1,21,"0,56",$168,$1.259,"8,99","65,99"
Dave Poirier,Small Business,Florida,04/11/2007 12:00:00 SA,2725,Not Specified,Technology,Small Box,5180,Telephones and Communication,South,395,05/11/2007 12:00:00 SA,Express Air,32003,"0,01",1,39,"0,56",$397,$2.178,"8,99","65,99"
Daniel Byrd,Home Office,New York,04/11/2007 12:00:00 SA,32355,Not Specified,Office Supplies,Small Box,Xerox 231,Paper,East,4547,06/11/2007 12:00:00 SA,Regular Air,14925,0,1,50,"0,37",($33),$355,"5,11","6,48"
Daniel Byrd,Home Office,New York,04/11/2007 12:00:00 SA,32355,Not Specified,Office Supplies,Small Box,Storex Dura Pro™ Binders,Binders and Binder Accessories,East,4548,07/11/2007 12:00:00 SA,Regular Air,14925,"0,01",1,34,"0,38",($239),$212,"9,92","5,94"
Duane Huffman,Small Business,Delaware,04/11/2007 12:00:00 SA,20261,Medium,Office Supplies,Wrap Bag,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Paper,East,2809,07/11/2007 12:00:00 SA,Regular Air,19810,"0,04",1,36,"0,39",$82,$220,"1,02","6,35"
Lisa Ryan,Home Office,New Mexico,05/11/2007 12:00:00 SA,31810,Critical,Furniture,Wrap Bag,"Master Caster Door Stop, Large Neon Orange",Office Furnishings,West,4462,05/11/2007 12:00:00 SA,Regular Air,87011,"0,03",1,46,"0,42",($167),$356,"7,98","7,28"
Astrea Jones,Corporate,Georgia,05/11/2007 12:00:00 SA,39040,Critical,Office Supplies,Wrap Bag,"Brites Rubber Bands, 1 1/2 oz. Box",Rubber Bands,South,5504,06/11/2007 12:00:00 SA,Express Air,39859,"0,04",1,7,"0,83",($1),$19,"0,7","1,98"
Bill Shonely,Small Business,Connecticut,05/11/2007 12:00:00 SA,25472,High,Office Supplies,Wrap Bag,Rediform S.O.S. Phone Message Books,Paper,East,3570,06/11/2007 12:00:00 SA,Regular Air,06037,"0,03",1,40,"0,36",$80,$194,"0,8","4,98"
Adam Bellavance,Small Business,New York,05/11/2007 12:00:00 SA,42949,Not Specified,Office Supplies,Wrap Bag,Advantus Plastic Paper Clips,Rubber Bands,East,6062,06/11/2007 12:00:00 SA,Regular Air,10501,"0,08",1,40,"0,37",($17),$202,"3,39",5
Astrea Jones,Corporate,Georgia,05/11/2007 12:00:00 SA,39040,Critical,Technology,Small Pack,Accessory36,Telephones and Communication,South,5503,06/11/2007 12:00:00 SA,Regular Air,39859,"0,03",1,26,"0,83",($221),$1.205,5,"55,99"
Tim Brockman,Consumer,South Carolina,05/11/2007 12:00:00 SA,23170,Not Specified,Furniture,Large Box,"Lifetime Advantage™ Folding Chairs, 4/Carton",Chairs & Chairmats,South,3229,07/11/2007 12:00:00 SA,Express Air,29684,"0,06",1,20,"0,57",$969,$4.253,"18,06","218,08"
Eugene Hildebrand,Home Office,Texas,05/11/2007 12:00:00 SA,38726,Medium,Office Supplies,Small Box,Economy Binders,Binders and Binder Accessories,Central,5455,07/11/2007 12:00:00 SA,Regular Air,78702,"0,04",1,44,"0,36",($11),$93,"1,49","2,08"
Edward Becker,Home Office,Utah,05/11/2007 12:00:00 SA,13735,Medium,Office Supplies,Small Box,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Envelopes,West,1917,07/11/2007 12:00:00 SA,Regular Air,84014,"0,02",1,36,"0,36",$117,$282,"1,39","7,64"
Adam Bellavance,Small Business,New York,05/11/2007 12:00:00 SA,42949,Not Specified,Technology,Medium Box,Hewlett Packard 6S Scientific Calculator,Office Machines,East,6063,07/11/2007 12:00:00 SA,Regular Air,10501,"0,07",1,49,"0,39",($132),$631,"9,44","12,99"
Cyma Kinney,Small Business,Wisconsin,05/11/2007 12:00:00 SA,28069,Low,Office Supplies,Wrap Bag,Avery Hi-Liter® Smear-Safe Highlighters,Pens & Art Supplies,Central,3941,09/11/2007 12:00:00 SA,Regular Air,53235,"0,09",1,4,"0,49",($3),$24,"0,83","5,84"
Cyma Kinney,Small Business,Wisconsin,05/11/2007 12:00:00 SA,28069,Low,Office Supplies,Wrap Bag,Array® Memo Cubes,Paper,Central,3942,10/11/2007 12:00:00 SA,Express Air,53235,"0,02",1,1,"0,36",($4),$10,"2,04","5,18"
Mathew Reese,Small Business,North Carolina,06/11/2007 12:00:00 SA,57666,Not Specified,Office Supplies,Jumbo Drum,"Tennsco Lockers, Gray",Storage & Organization,South,8083,06/11/2007 12:00:00 SA,Delivery Truck,28909,"0,1",1,44,"0,78",($2.111),$942,"53,03","20,98"
Eudokia Martin,Home Office,Delaware,06/11/2007 12:00:00 SA,46853,Low,Technology,Small Box,Hayes Optima 56K V.90 Internal Voice Modem,Computer Peripherals,East,6581,06/11/2007 12:00:00 SA,Regular Air,19701,"0,03",1,22,"0,51",$1.490,$5.649,"11,25","256,99"
Eugene Moren,Home Office,Washington,06/11/2007 12:00:00 SA,834,Medium,Technology,Jumbo Drum,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,Office Machines,West,131,07/11/2007 12:00:00 SA,Delivery Truck,99403,"0,01",1,15,"0,4",($189),$1.813,"56,14","115,99"
Mitch Gastineau,Small Business,New York,06/11/2007 12:00:00 SA,22818,Critical,Furniture,Jumbo Drum,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Chairs & Chairmats,East,3171,08/11/2007 12:00:00 SA,Delivery Truck,10501,"0,1",1,50,"0,78",($592),$6.278,30,"130,98"
Quincy Jones,Corporate,Alabama,06/11/2007 12:00:00 SA,25509,Critical,Office Supplies,Small Box,Cardinal Holdit Business Card Pockets,Binders and Binder Accessories,South,3580,08/11/2007 12:00:00 SA,Regular Air,36276,"0,06",1,43,"0,37",($103),$212,"4,95","4,98"
Mathew Reese,Small Business,North Carolina,06/11/2007 12:00:00 SA,57666,Not Specified,Office Supplies,Small Pack,Boston 1799 Powerhouse™ Electric Pencil Sharpener,Pens & Art Supplies,South,8084,09/11/2007 12:00:00 SA,Regular Air,28909,"0,03",1,45,"0,57",$304,$1.206,"4,08","25,98"
Mitch Gastineau,Small Business,New York,06/11/2007 12:00:00 SA,22818,Low,Technology,Small Box,Belkin 105-Key Black Keyboard,Computer Peripherals,East,3172,10/11/2007 12:00:00 SA,Regular Air,10501,"0,08",1,19,"0,68",($54),$360,4,"19,98"
Emily Grady,Home Office,Idaho,07/11/2007 12:00:00 SA,10663,High,Office Supplies,Small Box,Avery 494,Labels,West,1484,07/11/2007 12:00:00 SA,Regular Air,83201,"0,07",1,40,"0,39",$38,$104,"0,5","2,61"
Tom Stivers,Corporate,Virginia,07/11/2007 12:00:00 SA,55908,High,Office Supplies,Small Box,"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets",Binders and Binder Accessories,South,7820,08/11/2007 12:00:00 SA,Regular Air,23970,"0,03",1,44,"0,36",$807,$1.845,"2,99","42,8"
Justin Ellison,Home Office,New Jersey,07/11/2007 12:00:00 SA,26758,Not Specified,Office Supplies,Wrap Bag,Newell 340,Pens & Art Supplies,East,3746,09/11/2007 12:00:00 SA,Regular Air,07981,0,1,37,"0,56",$17,$108,"0,7","2,88"
Nathan Gelder,Home Office,Colorado,07/11/2007 12:00:00 SA,19431,Not Specified,Office Supplies,Wrap Bag,Newell 31,Pens & Art Supplies,West,2687,09/11/2007 12:00:00 SA,Regular Air,80813,"0,08",1,4,"0,57",($6),$17,"1,17","4,13"
Justin Ellison,Home Office,New Jersey,07/11/2007 12:00:00 SA,26758,Not Specified,Technology,Small Box,Micro Innovations Media Access Pro Keyboard,Computer Peripherals,East,3747,09/11/2007 12:00:00 SA,Express Air,07981,"0,09",1,46,"0,76",$315,$3.519,4,"77,51"
Stuart Calhoun,Consumer,Utah,08/11/2007 12:00:00 SA,23205,High,Furniture,Jumbo Box,Bevis Boat-Shaped Conference Table,Tables,West,3237,09/11/2007 12:00:00 SA,Delivery Truck,84337,"0,02",1,26,"0,75",($58),$7.209,"62,74","262,11"
Nancy Lomonaco,Home Office,Utah,08/11/2007 12:00:00 SA,5760,Not Specified,Furniture,Jumbo Drum,"Global Airflow Leather Mesh Back Chair, Black",Chairs & Chairmats,West,802,09/11/2007 12:00:00 SA,Delivery Truck,84014,"0,05",1,34,"0,55",$650,$5.262,"43,71","150,98"
Harold Dahlen,Consumer,Nebraska,08/11/2007 12:00:00 SA,41091,Medium,Furniture,Large Box,"Lifetime Advantage™ Folding Chairs, 4/Carton",Chairs & Chairmats,Central,5793,09/11/2007 12:00:00 SA,Express Air,68717,"0,1",1,32,"0,57",$1.319,$6.311,"18,06","218,08"
Stuart Calhoun,Consumer,Utah,08/11/2007 12:00:00 SA,23205,High,Office Supplies,Small Box,Kensington 6 Outlet SmartSocket Surge Protector,Appliances,West,3236,09/11/2007 12:00:00 SA,Express Air,84337,"0,08",1,8,"0,6",($17),$320,"7,2","40,98"
Stuart Calhoun,Consumer,Utah,08/11/2007 12:00:00 SA,23205,High,Technology,Small Pack,"Imation Neon Mac Format Diskettes, 10/Pack",Computer Peripherals,West,3235,09/11/2007 12:00:00 SA,Express Air,84337,"0,08",1,32,"0,77",($60),$263,"2,83","8,12"
Vivek Grady,Home Office,Utah,08/11/2007 12:00:00 SA,12516,Low,Office Supplies,Small Box,Xerox 231,Paper,West,1749,12/11/2007 12:00:00 SA,Regular Air,84791,"0,02",1,22,"0,37",($24),$155,"5,11","6,48"
Vivek Grady,Home Office,Utah,08/11/2007 12:00:00 SA,12516,Low,Technology,Jumbo Drum,Lexmark Z25 Color Inkjet Printer,Office Machines,West,1750,13/11/2007 12:00:00 SA,Delivery Truck,84791,"0,1",1,31,"0,37",$66,$2.360,"33,6","80,97"
Dianna Vittorini,Corporate,Arizona,09/11/2007 12:00:00 SA,59072,Not Specified,Office Supplies,Small Box,Xerox 1883,Paper,West,8259,10/11/2007 12:00:00 SA,Regular Air,86442,"0,08",1,22,"0,39",$175,$577,"5,58","26,38"
Mitch Webber,Corporate,Nebraska,09/11/2007 12:00:00 SA,39335,Not Specified,Technology,Small Pack,"Imation Primaris 3.5"" 2HD Unformatted Diskettes, 10/Pack",Computer Peripherals,Central,5557,10/11/2007 12:00:00 SA,Regular Air,68001,"0,06",1,24,"0,72",($46),$113,"2,39","4,77"
Ruben Dartt,Corporate,New York,09/11/2007 12:00:00 SA,9476,Not Specified,Office Supplies,Small Box,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Binders and Binder Accessories,East,1293,11/11/2007 12:00:00 SA,Express Air,10457,"0,08",1,10,"0,37",($67),$165,"13,18","15,99"
Dianna Vittorini,Corporate,Arizona,09/11/2007 12:00:00 SA,59072,Not Specified,Office Supplies,Small Box,Wilson Jones Custom Binder Spines & Labels,Binders and Binder Accessories,West,8260,11/11/2007 12:00:00 SA,Express Air,86442,"0,03",1,12,"0,36",($52),$79,"7,46","5,44"
Peter Buhler,Consumer,Texas,09/11/2007 12:00:00 SA,6880,Medium,Office Supplies,Small Box,Xerox 1938,Paper,Central,949,11/11/2007 12:00:00 SA,Regular Air,77474,"0,06",1,5,"0,37",$22,$235,"5,86","47,9"
Mitch Webber,Corporate,Nebraska,09/11/2007 12:00:00 SA,39335,Not Specified,Office Supplies,Small Box,"Tyvek ® Top-Opening Peel & Seel Envelopes, Plain White",Envelopes,Central,5558,11/11/2007 12:00:00 SA,Regular Air,68001,"0,1",1,34,"0,38",$204,$890,"8,23","27,18"
Denise Leinenbach,Home Office,Maryland,09/11/2007 12:00:00 SA,3589,High,Office Supplies,Small Box,Self-Adhesive Removable Labels,Labels,South,529,11/11/2007 12:00:00 SA,Regular Air,21022,"0,01",1,23,"0,37",$29,$73,"0,49","3,15"
Tracy Hopkins,Small Business,Washington,09/11/2007 12:00:00 SA,25445,Low,Office Supplies,Small Box,Surelock™ Post Binders,Binders and Binder Accessories,West,3567,11/11/2007 12:00:00 SA,Regular Air,99403,"0,08",1,48,"0,35",$617,$1.444,"2,99","30,56"
Dianna Vittorini,Corporate,Arizona,09/11/2007 12:00:00 SA,59072,Not Specified,Technology,Small Box,V2397,Telephones and Communication,West,8262,11/11/2007 12:00:00 SA,Regular Air,86442,0,1,38,"0,58",$1.287,$4.192,"2,5","125,99"
Dianna Vittorini,Corporate,Arizona,09/11/2007 12:00:00 SA,59072,Not Specified,Technology,Wrap Bag,Accessory37,Telephones and Communication,West,8261,11/11/2007 12:00:00 SA,Regular Air,86442,"0,06",1,2,"0,81",($112),$36,"2,5","20,99"
Bruce Degenhardt,Home Office,Arizona,09/11/2007 12:00:00 SA,29637,High,Technology,Medium Box,Canon P1-DHIII Palm Printing Calculator,Office Machines,West,4176,11/11/2007 12:00:00 SA,Regular Air,85295,"0,09",1,34,"0,4",($8),$598,"8,51","17,98"
Anthony Rawles,Small Business,Illinois,10/11/2007 12:00:00 SA,51815,Low,Technology,Small Box,270c,Telephones and Communication,Central,7264,10/11/2007 12:00:00 SA,Regular Air,62999,"0,02",1,21,"0,59",$398,$2.292,3,"125,99"
Tonja Turnell,Consumer,New York,10/11/2007 12:00:00 SA,5222,Not Specified,Furniture,Jumbo Drum,Panasonic OLED Television,Tables,East,728,11/11/2007 12:00:00 SA,Delivery Truck,10040,"0,01",1,40,"0,49",$4.504,$14.452,60,"349,45"
Meg O'Connel,Corporate,New Jersey,10/11/2007 12:00:00 SA,57153,Critical,Office Supplies,Small Box,"#10 White Business Envelopes,4 1/8 x 9 1/2",Envelopes,East,7996,11/11/2007 12:00:00 SA,Regular Air,07514,"0,01",1,45,"0,38",$336,$698,"1,39","15,67"
Sara Luxemburg,Small Business,California,10/11/2007 12:00:00 SA,39426,Critical,Office Supplies,Wrap Bag,Staples Metal Binder Clips,Rubber Bands,West,5567,11/11/2007 12:00:00 SA,Regular Air,94404,"0,05",1,21,"0,39",$13,$56,"0,8","2,62"
Meg O'Connel,Corporate,New Jersey,10/11/2007 12:00:00 SA,57153,Critical,Office Supplies,Medium Box,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",Appliances,East,7997,12/11/2007 12:00:00 SA,Regular Air,07514,"0,02",1,9,"0,42",($15),$106,"6,12","11,33"
Anthony Rawles,Small Business,Illinois,10/11/2007 12:00:00 SA,51815,Low,Office Supplies,Small Box,Storex Dura Pro™ Binders,Binders and Binder Accessories,Central,7265,17/11/2007 12:00:00 SA,Regular Air,62999,"0,01",1,37,"0,38",($257),$228,"9,92","5,94"
Dan Reichenbach,Corporate,Michigan,11/11/2007 12:00:00 SA,23076,Critical,Furniture,Wrap Bag,Coloredge Poster Frame,Office Furnishings,Central,3214,12/11/2007 12:00:00 SA,Regular Air,49634,"0,03",1,50,"0,46",$122,$742,"5,3","14,2"
Brad Thomas,Home Office,Connecticut,11/11/2007 12:00:00 SA,22402,Critical,Office Supplies,Small Box,Vinyl Sectional Post Binders,Binders and Binder Accessories,East,3117,12/11/2007 12:00:00 SA,Regular Air,06074,"0,04",1,33,"0,35",$497,$1.194,"2,99","37,7"
Brad Thomas,Home Office,Connecticut,11/11/2007 12:00:00 SA,22402,Critical,Technology,Small Pack,Accessory36,Telephones and Communication,East,3118,12/11/2007 12:00:00 SA,Regular Air,06074,"0,01",1,1,"0,83",($236),$52,5,"55,99"
Berenike Kampe,Corporate,Colorado,11/11/2007 12:00:00 SA,17408,Not Specified,Office Supplies,Small Box,3M Organizer Strips,Binders and Binder Accessories,West,2401,13/11/2007 12:00:00 SA,Express Air,80728,"0,05",1,26,"0,37",($133),$150,"7,78","5,4"
Berenike Kampe,Corporate,Colorado,11/11/2007 12:00:00 SA,17408,Not Specified,Technology,Medium Box,1726 Digital Answering Machine,Telephones and Communication,West,2400,13/11/2007 12:00:00 SA,Regular Air,80728,"0,02",1,41,"0,58",$50,$728,"4,81","20,99"
Aaron Smayling,Small Business,Ohio,12/11/2007 12:00:00 SA,21190,Medium,Office Supplies,Small Box,"Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray",Envelopes,Central,2925,12/11/2007 12:00:00 SA,Regular Air,43001,"0,01",1,28,"0,4",$402,$1.063,"6,66","35,94"
Sheri Gordon,Corporate,Nebraska,12/11/2007 12:00:00 SA,56486,Critical,Office Supplies,Small Box,Xerox 1947,Paper,Central,7898,13/11/2007 12:00:00 SA,Regular Air,68155,"0,03",1,11,"0,4",($24),$74,"5,35","5,98"
Ralph Arnett,Consumer,Idaho,12/11/2007 12:00:00 SA,6464,Medium,Furniture,Medium Box,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Office Furnishings,West,899,14/11/2007 12:00:00 SA,Regular Air,83201,0,1,42,"0,74",($1.014),$3.992,"56,2","90,98"
Tanja Norvell,Consumer,Utah,12/11/2007 12:00:00 SA,16225,Critical,Office Supplies,Small Box,Portfile® Personal File Boxes,Storage & Organization,West,2253,14/11/2007 12:00:00 SA,Regular Air,84631,"0,03",1,30,"0,59",($83),$550,"9,47","17,7"
Ralph Arnett,Consumer,Idaho,12/11/2007 12:00:00 SA,6464,Medium,Office Supplies,Small Box,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,Appliances,West,898,14/11/2007 12:00:00 SA,Regular Air,83201,"0,07",1,1,"0,56",($42),$58,"4,5","60,97"
Rick Duston,Corporate,Texas,12/11/2007 12:00:00 SA,58337,Low,Office Supplies,Wrap Bag,"Dixon My First Ticonderoga Pencil, #2",Pens & Art Supplies,Central,8156,14/11/2007 12:00:00 SA,Regular Air,76246,"0,03",1,18,"0,56",($5),$106,"2,27","5,85"
Mitch Willingham,Corporate,North Carolina,13/11/2007 12:00:00 SA,1895,Medium,Office Supplies,Small Box,Xerox 216,Paper,South,277,15/11/2007 12:00:00 SA,Regular Air,27006,"0,02",1,5,"0,37",($23),$41,"7,91","6,48"
John Dryer,Corporate,South Carolina,13/11/2007 12:00:00 SA,50501,High,Technology,Medium Box,TI 36X Solar Scientific Calculator,Office Machines,South,7078,15/11/2007 12:00:00 SA,Regular Air,29808,"0,01",1,31,"0,38",$228,$801,"6,3","23,99"
